Hum,Macaca,Mouse,Rat
ULK3,ULK3,Ulk3,Ulk3
GPR55,GPR55,Gpr55,Gpr55
KLHDC10,KLHDC10,Klhdc10,Klhdc10
DAGLB,DAGLB,Daglb,Daglb
LCTL,LCTL,Lctl,Lctl
GPN1,GPN1,Gpn1,Gpn1
ZPLD1,ZPLD1,Zpld1,Zpld1
VPS35,VPS35,Vps35,Vps35
RECQL,RECQL,Recql,Recql
LTN1,LTN1,Ltn1,Ltn1
SSPO,SSPO,Sspo,Sspo
ATP6V0D2,ATP6V0D2,Atp6v0d2,Atp6v0d2
NAP1L4,NAP1L4,Nap1l4,Nap1l4
SCGB1A1,SCGB1A1,Scgb1a1,Scgb1a1
BICC1,BICC1,Bicc1,Bicc1
GSTTP1,GSTTP1,Gstt4,Gstt4
ADAMTSL1,ADAMTSL1,Adamtsl1,Adamtsl1
NEURL2,NEURL2,Neurl2,Neurl2
DBNL,DBNL,Dbnl,Dbnl
PAX3,PAX3,Pax3,Pax3
SHC1,SHC1,Shc1,Shc1
ZSWIM1,ZSWIM1,Zswim1,Zswim1
ANAPC16,ANAPC16,Anapc16,Anapc16
TNN,TNN,Tnn,Tnn
RNPEPL1,RNPEPL1,Rnpepl1,Rnpepl1
ZDHHC17,ZDHHC17,Zdhhc17,Zdhhc17
SPO11,SPO11,Spo11,Spo11
HOXC12,HOXC12,Hoxc12,Hoxc12
RTN4R,RTN4R,Rtn4r,Rtn4r
OSBPL11,OSBPL11,Osbpl11,Osbpl11
ASIP,ASIP,a,Asip
KLHDC9,KLHDC9,Klhdc9,Klhdc9
CUX2,CUX2,Cux2,Cux2
CNTN1,CNTN1,Cntn1,Cntn1
URAD,URAD,Urad,Urad
NUP210,NUP210,Nup210,Nup210
FAM189B,,Fam189b,Fam189b
PHLDA2,PHLDA2,Phlda2,Phlda2
AVEN,AVEN,Aven,Aven
CTC1,CTC1,Ctc1,Ctc1
NDUFS4,NDUFS4,Ndufs4,Ndufs4
MCTP2,MCTP2,Mctp2,Mctp2
ALDH5A1,ALDH5A1,Aldh5a1,Aldh5a1
LRRC56,LRRC56,Lrrc56,Lrrc56
FAM35A,,Fam35a,Fam35a
CDC73,CDC73,Cdc73,Cdc73
FST,FST,Fst,Fst
TMOD4,TMOD4,Tmod4,Tmod4
FOXH1,FOXH1,Foxh1,Foxh1
SLC2A10,SLC2A10,Slc2a10,Slc2a10
TMEM106B,TMEM106B,Tmem106b,Tmem106b
CYB5R4,CYB5R4,Cyb5r4,Cyb5r4
ZBTB11,ZBTB11,Zbtb11,Zbtb11
MEP1B,MEP1B,Mep1b,Mep1b
GAS7,GAS7,Gas7,Gas7
RGSL1,RGSL1,Rgsl1,Rgsl1
FGR,FGR,Fgr,Fgr
BORCS6,BORCS6,Borcs6,Borcs6
ZBTB22,ZBTB22,Zbtb22,Zbtb22
EIF4A1,EIF4A1,Eif4a1,Eif4a1
C18orf54,C18orf54,4930503L19Rik,LOC361346
STRIP2,STRIP2,Strip2,Strip2
COL14A1,COL14A1,Col14a1,Col14a1
STC1,STC1,Stc1,Stc1
RUNX1,RUNX1,Runx1,Runx1
RCVRN,RCVRN,Rcvrn,Rcvrn
ALKAL2,ALKAL2,Alkal2,Fam150b
ACCS,ACCS,Accs,Accs
TSPAN12,TSPAN12,Tspan12,Tspan12
GALNT11,GALNT11,Galnt11,Galnt11
GCNT7,GCNT7,Gcnt7,Gcnt7
ZNF503,ZNF503,Zfp503,Zfp503
DNAL4,DNAL4,Dnal4,Dnal4
BIN3,BIN3,Bin3,Bin3
POLI,POLI,Poli,Poli
NOL9,NOL9,Nol9,Nol9
PIP,PIP,Pip,Pip
CARM1,CARM1,Carm1,Carm1
OR9A2,OR9A2,Olfr459,RGD1562066
GTPBP1,GTPBP1,Gtpbp1,Gtpbp1
INPP4B,INPP4B,Inpp4b,Inpp4b
IPO11,IPO11,Ipo11,Ipo11
RNH1,RNH1,Rnh1,Rnh1
PLEKHH2,PLEKHH2,Plekhh2,Plekhh2
BBS9,BBS9,Bbs9,Bbs9
GCLM,GCLM,Gclm,Gclm
TXNDC11,TXNDC11,Txndc11,Txndc11
THOC6,THOC6,Thoc6,Thoc6
BEST1,BEST1,Best1,Best1
NECAP2,NECAP2,Necap2,Necap2
TRIM24,TRIM24,Trim24,Trim24
KEL,KEL,Kel,Kel
HECW2,HECW2,Hecw2,Hecw2
SECISBP2L,SECISBP2L,Secisbp2l,Secisbp2l
REV1,REV1,Rev1,Rev1
BANK1,BANK1,Bank1,Bank1
BMPR1A,BMPR1A,Bmpr1a,Bmpr1a
CCT3,CCT3,Cct3,Cct3
ANKRD7,ANKRD7,Ankrd7,Ankrd7
OVOL2,OVOL2,Ovol2,Ovol2
TRMT2A,TRMT2A,Trmt2a,Trmt2a
CCP110,CCP110,Ccp110,Ccp110
SLC13A3,SLC13A3,Slc13a3,Slc13a3
RANBP6,,Ranbp6,Ranbp6
C11orf96,C11orf96,Gm13889,RGD1564664
HDAC7,HDAC7,Hdac7,Hdac7
TOX3,TOX3,Tox3,Tox3
H1FX,H1FX,H1fx,H1fx
CDKN1B,CDKN1B,Cdkn1b,Cdkn1b
NKX1-1,NKX1-1,Nkx1-1,Nkx1-1
CNTN4,CNTN4,Cntn4,Cntn4
CCT5,CCT5,Cct5,Cct5
HCFC2,HCFC2,Hcfc2,Hcfc2
ARNT,ARNT,Arnt,Arnt
TFAM,TFAM,Tfam,Tfam
DAB2,DAB2,Dab2,Dab2
METTL24,METTL24,Mettl24,Mettl24
GPALPP1,GPALPP1,Gpalpp1,Gpalpp1
PRKAG3,PRKAG3,Prkag3,Prkag3
PXMP4,,Pxmp4,Pxmp4
KIAA2026,KIAA2026,9930021J03Rik,RGD1311595
IGSF10,IGSF10,Igsf10,Igsf10
ARHGEF4,,Arhgef4,Arhgef4
CASZ1,CASZ1,Casz1,Casz1
CDC40,CDC40,Cdc40,Cdc40
P2RY13,P2RY13,P2ry13,P2ry13
STK17B,STK17B,Stk17b,Stk17b
MYOM3,MYOM3,Myom3,Myom3
GPR171,GPR171,Gpr171,Gpr171
P2RY12,P2RY12,P2ry12,P2ry12
MLANA,MLANA,Mlana,Mlana
PPP1R14D,,Ppp1r14d,Ppp1r14d
PTCHD3,PTCHD3,Ptchd3,Ptchd3
B4GALNT3,B4GALNT3,B4galnt3,B4galnt3
SPRR4,SPRR4,Sprr4,NEWGENE_2324572
GLT8D2,GLT8D2,Glt8d2,Glt8d2
MINDY4,MINDY4,Mindy4,Fam188b
ZNF334,ZNF334,Zfp334,Zfp334
KDM4C,KDM4C,Kdm4c,Kdm4c
PIP5K1A,PIP5K1A,Pip5k1a,Pip5k1a
KCNS3,KCNS3,Kcns3,Kcns3
NR2F2,NR2F2,Nr2f2,Nr2f2
AHNAK,AHNAK,Ahnak,Ahnak
PDK3,PDK3,Pdk3,Pdk3
PHRF1,PHRF1,Phrf1,Phrf1
YEATS4,YEATS4,Yeats4,Yeats4
KRTAP26-1,KRTAP26-1,Krtap26-1,Krtap26-1
GDAP1,GDAP1,Gdap1,Gdap1
TNFRSF1B,TNFRSF1B,Tnfrsf1b,Tnfrsf1b
BPI,BPI,Bpi,Bpi
FBXO39,FBXO39,Fbxo39,Fbxo39
KLHL15,KLHL15,Klhl15,Klhl15
ANKRD29,ANKRD29,Ankrd29,LOC108348154
ITM2C,ITM2C,Itm2c,Itm2c
TTC34,,Ttc34,Ttc34
N6AMT1,N6AMT1,N6amt1,N6amt1
KIAA1328,KIAA1328,AW554918,RGD1562608
HOOK2,HOOK2,Hook2,Hook2
PFAS,PFAS,Pfas,LOC100912917
JUNB,JUNB,Junb,Junb
MGLL,MGLL,Mgll,Mgll
IL12RB2,IL12RB2,Il12rb2,Il12rb2
RNF39,RNF39,Rnf39,Rnf39
ARHGAP18,ARHGAP18,Arhgap18,Arhgap18
DDX20,DDX20,Ddx20,Ddx20
SUGP2,SUGP2,Sugp2,Sugp2
NRROS,NRROS,Nrros,Nrros
NKAP,NKAP,Nkap,Nkap
TUBB6,TUBB6,Tubb6,Tubb6
GPR82,GPR82,Gpr82,Gpr82
DUSP4,DUSP4,Dusp4,Dusp4
MRAP2,MRAP2,Mrap2,Mrap2
GJA5,GJA5,Gja5,Gja5
CLEC3A,CLEC3A,Clec3a,Clec3a
TFAP2C,TFAP2C,Tfap2c,Tfap2c
LAMA5,LAMA5,Lama5,Lama5
DMTN,DMTN,Dmtn,Dmtn
TTC33,TTC33,Ttc33,Ttc33
CKAP2L,CKAP2L,Ckap2l,Ckap2l
GPCPD1,GPCPD1,Gpcpd1,Gpcpd1
ADAMTS1,ADAMTS1,Adamts1,Adamts1
SLC25A18,SLC25A18,Slc25a18,Slc25a18
FGFR3,FGFR3,Fgfr3,Fgfr3
INTS8,INTS8,Ints8,Ints8
FSHB,FSHB,Fshb,Fshb
SUSD5,SUSD5,Susd5,Susd5
SNX21,SNX21,Snx21,Snx21
CFAP65,CFAP65,Cfap65,Cfap65
PARP4,,Parp4,Parp4
ASB14,ASB14,Asb14,Asb14
TACC3,TACC3,Tacc3,Tacc3
VEGFC,VEGFC,Vegfc,Vegfc
TRAPPC3,TRAPPC3,Trappc3,Trappc3
GHRHR,GHRHR,Ghrhr,Ghrhr
NTF3,NTF3,Ntf3,Ntf3
DYNC2LI1,DYNC2LI1,Dync2li1,Dync2li1
RIMS1,RIMS1,Rims1,Rims1
KCNA5,KCNA5,Kcna5,Kcna5
ARMC4,ARMC4,Armc4,Armc4
TXNDC9,TXNDC9,Txndc9,Txndc9
TBC1D14,TBC1D14,Tbc1d14,Tbc1d14
MAEL,MAEL,Mael,Mael
MRPS24,MRPS24,Mrps24,Mrps24
ACAD10,ACAD10,Acad10,Acad10
SLC25A41,SLC25A41,Slc25a41,Slc25a41
RABGAP1L,RABGAP1L,Rabgap1l,Rabgap1l
SAPCD1,SAPCD1,Sapcd1,Sapcd1
BCL9,BCL9,Bcl9,Bcl9
SAMD11,,Samd11,Samd11
VSIR,VSIR,Vsir,Vsir
FAM168B,FAM168B,Fam168b,Fam168b
EFCAB12,EFCAB12,Efcab12,Efcab12
FKBP4,FKBP4,Fkbp4,Fkbp4
FOXM1,FOXM1,Foxm1,Foxm1
ADAMTS18,ADAMTS18,Adamts18,Adamts18
CHRNB4,CHRNB4,Chrnb4,Chrnb4
GINS2,GINS2,Gins2,Gins2
TMEM259,TMEM259,Tmem259,Tmem259
COL4A6,COL4A6,Col4a6,Col4a6
ATXN7,ATXN7,Atxn7,Atxn7
COMMD7,COMMD7,Commd7,Commd7
GTF2F2,GTF2F2,Gtf2f2,Gtf2f2
KCTD4,KCTD4,Kctd4,Kctd4
ADGRL4,ADGRL4,Adgrl4,Adgrl4
TEKT2,TEKT2,Tekt2,Tekt2
VEGFA,VEGFA,Vegfa,Vegfa
CDC16,CDC16,Cdc16,Cdc16
SLC20A2,SLC20A2,Slc20a2,Slc20a2
GTF2H1,GTF2H1,Gtf2h1,Gtf2h1
TNFSF10,TNFSF10,Tnfsf10,Tnfsf10
SPICE1,SPICE1,Spice1,Spice1
UBE2E1,UBE2E1,Ube2e1,Ube2e1
SLC9A7,SLC9A7,Slc9a7,Slc9a7
UBE2E2,UBE2E2,Ube2e2,Ube2e2
CSNK1G1,CSNK1G1,Csnk1g1,Csnk1g1
MAPK3,MAPK3,Mapk3,Mapk3
IL5RA,IL-5R alpha,Il5ra,Il5ra
ATP6V1H,ATP6V1H,Atp6v1h,Atp6v1h
C1QL4,C1QL4,C1ql4,C1ql4
PRKX,PRKX,Prkx,Prkx
AUNIP,AUNIP,Aunip,Aunip
UBE2C,,Ube2c,Ube2c
FKBP2,,Fkbp2,Fkbp2
MCTP1,MCTP1,Mctp1,Mctp1
MNX1,,Mnx1,Mnx1
ZNF496,ZNF496,Zkscan17,Zfp496
TTPAL,TTPAL,Ttpal,Ttpal
TSPAN11,TSPAN11,Tspan11,Tspan11
SFI1,SFI1,Sfi1,Sfi1
NLRP14,NLRP14,Nlrp14,Nlrp14
SSTR4,SSTR4,Sstr4,Sstr4
HS1BP3,HS1BP3,Hs1bp3,Hs1bp3
PGPEP1,PGPEP1,Pgpep1,Pgpep1
GPR149,GPR149,Gpr149,Gpr149
SETD5,SETD5,Setd5,Setd5
KLHL24,KLHL24,Klhl24,Klhl24
CPNE2,CPNE2,Cpne2,Cpne2
DAZAP1,DAZAP1,Dazap1,Dazap1
MEI1,MEI1,Mei1,Mei1
VPS13C,VPS13C,Vps13c,Vps13c
PXYLP1,PXYLP1,Pxylp1,Pxylp1
SCARB1,SCARB1,Scarb1,Scarb1
DENR,DENR,Denr,Denr
COX7B,COX7B,Cox7b,Cox7b
TANK,TANK,Tank,Tank
TM9SF3,TM9SF3,Tm9sf3,Tm9sf3
PARD6G,,Pard6g,Pard6g
MYL3,MYL3,Myl3,Myl3
PDIK1L,PDIK1L,Pdik1l,Pdik1l
GGT7,GGT7,Ggt7,Ggt7
FLII,FLII,Flii,Flii
CCDC71,CCDC71,Ccdc71,Ccdc71
POU1F1,POU1F1,Pou1f1,Pou1f1
MTX2,MTX2,Mtx2,Mtx2
ETFA,ETFA,Etfa,Etfa
RALGAPB,RALGAPB,Ralgapb,Ralgapb
CRY2,CRY2,Cry2,Cry2
ZNF18,ZNF18,Zkscan6,Zfp18
EMP1,EMP1,Emp1,Emp1
DSCAM,DSCAM,Dscam,Dscam
OPALIN,OPALIN,Opalin,Opalin
ENOX2,ENOX2,Enox2,Enox2
FUNDC1,FUNDC1,Fundc1,Fundc1
MAGOHB,MAGOHB,Magohb,Magohb
DARS2,DARS2,Dars2,Dars2
PLXDC2,PLXDC2,Plxdc2,Plxdc2
ARL6IP6,ARL6IP6,Arl6ip6,Arl6ip6
DLG1,DLG1,Dlg1,Dlg1
IFNAR1,IFNAR1,Ifnar1,Ifnar1
SBSN,SBSN,Sbsn,Sbsn
VGLL3,VGLL3,Vgll3,Vgll3
ARX,ARX,Arx,Arx
ID2,ID2,Id2,Id2
CFAP74,CFAP74,Cfap74,AC130035.1
HNRNPD,HNRNPD,Hnrnpd,Hnrnpd
RIC8A,RIC8A,Ric8a,Ric8a
PRAM1,PRAM1,Pram1,Pram1
CDHR5,CDHR5,Cdhr5,Cdhr5
SULT1B1,SULT1B1,Sult1b1,Sult1b1
VEZT,VEZT,Vezt,Vezt
SELENOP,,Selenop,Selenop
FBLN2,FBLN2,Fbln2,Fbln2
AMZ1,AMZ1,Amz1,Amz1
TP53INP2,TP53INP2,Trp53inp2,Tp53inp2
SPC24,SPC24,Spc24,Spc24
ZNF394,ZNF394,Zkscan14,Zfp394
PAQR7,PAQR7,Paqr7,Paqr7
AASS,AASS,Aass,Aass
TMEM161A,TMEM161A,Tmem161a,Tmem161a
HINT2,HINT2,Hint2,Hint2
B3GALT5,B3GALT5,B3galt5,B3galt5
ST6GAL2,ST6GAL2,St6gal2,St6gal2
SOD1,SOD1,Sod1,Sod1
NLGN1,NLGN1,Nlgn1,Nlgn1
PAG1,PAG1,Pag1,Pag1
ADAMTS6,ADAMTS6,Adamts6,Adamts6
FMNL3,FMNL3,Fmnl3,Fmnl3
LDHC,LDHC,Ldhc,Ldhc
EPS15,EPS15,Eps15,Eps15
F3,F3,F3,F3
EMC4,EMC4,Emc4,Emc4
RETREG2,RETREG2,Retreg2,Fam134a
IL36A,IL36A,Il1f6,Il36a
TRIM27,TRIM27,Trim27,Trim27
C2orf72,C2orf72,2810459M11Rik,LOC100362216
MYLK3,MYLK3,Mylk3,Mylk3
POLR3F,POLR3F,Polr3f,Polr3f
EFCAB8,EFCAB8,Wdr95,Wdr95
FGF6,FGF6,Fgf6,Fgf6
STK40,STK40,Stk40,Stk40
EEFSEC,EEFSEC,Eefsec,Eefsec
NUTM1,NUTM1,Nutm1,Nutm1
DHODH,DHODH,Dhodh,Dhodh
TMEM117,TMEM117,Tmem117,Tmem117
PTPRR,PTPRR,Ptprr,Ptprr
MRPL13,MRPL13,Mrpl13,Mrpl13
TREM1,TREM1,Trem1,Trem1
RAB27B,RAB27B,Rab27b,Rab27b
KPNA1,KPNA1,Kpna1,Kpna1
NECAB1,NECAB1,Necab1,Necab1
TBC1D30,TBC1D30,Tbc1d30,Tbc1d30
CHRM5,CHRM5,Chrm5,Chrm5
GNAT1,GNAT1,Gnat1,Gnat1
MAST1,MAST1,Mast1,MAST1
SETD4,SETD4,Setd4,Setd4
GUCY2F,GUCY2F,Gucy2f,Gucy2f
DOCK4,DOCK4,Dock4,Dock4
SLC4A5,SLC4A5,Slc4a5,Slc4a5
GNGT1,GNGT1,Gngt1,Gngt1
HPS1,HPS1,Hps1,Hps1
WDR73,WDR73,Wdr73,Wdr73
PCSK6,PCSK6,Pcsk6,Pcsk6
TFPI2,TFPI2,Tfpi2,Tfpi2
SLC5A11,SLC5A11,Slc5a11,Slc5a11
CDX2,CDX2,Cdx2,Cdx2
NRM,NRM,Nrm,Nrm
PCK1,PCK1,Pck1,Pck1
HNRNPF,HNRNPF,Hnrnpf,Hnrnpf
KIAA1549,KIAA1549,D630045J12Rik,RGD1306271
GFOD2,GFOD2,Gfod2,Gfod2
ZDHHC8,ZDHHC8,Zdhhc8,Zdhhc8
PSMB5,PSMB5,Psmb5,Psmb5
ZMYM3,ZMYM3,Zmym3,Zmym3
MYCL,MYCL,Mycl,Mycl
FHOD3,FHOD3,Fhod3,Fhod3
BST1,BST1,Bst1,Bst1
STAC,,Stac,Stac
RUNDC3B,RUNDC3B,Rundc3b,Rundc3b
CAB39,CAB39,Cab39,Cab39
SWAP70,SWAP70,Swap70,Swap70
MTHFD2,MTHFD2,Mthfd2,Mthfd2
MSMP,MSMP,Msmp,Msmp
ERMAP,ERMAP,Ermap,Ermap
NR2C1,NR2C1,Nr2c1,Nr2c1
SHROOM3,SHROOM3,Shroom3,Shroom3
ACSBG2,ACSBG2,Acsbg2,Acsbg2
AKAP14,AKAP14,Akap14,Akap14
POLR2G,POLR2G,Polr2g,Polr2g
VPS72,VPS72,Vps72,Vps72
OTOS,OTOS,Otos,Otos
KIFC2,KIFC2,Kifc2,Kifc2
ATP12A,ATP12A,Atp12a,Atp12a
SLC7A2,SLC7A2,Slc7a2,Slc7a2
RBM10,RBM10,Rbm10,Rbm10
ADAMTS5,ADAMTS5,Adamts5,Adamts5
MPP7,MPP7,Mpp7,Mpp7
LAMA2,LAMA2,Lama2,Lama2
SLC1A7,SLC1A7,Slc1a7,Slc1a7
DCBLD1,DCBLD1,Dcbld1,Dcbld1
ANO10,ANO10,Ano10,Ano10
TTC9C,TTC9C,Ttc9c,Ttc9c
HRAS,HRAS,Hras,Hras
MOB1A,,Mob1a,Mob1a
CDAN1,CDAN1,Cdan1,Cdan1
RALY,RALY,Raly,Raly
BNC2,BNC2,Bnc2,Bnc2
CSGALNACT2,CSGALNACT2,Csgalnact2,Csgalnact2
LCA5L,LCA5L,Lca5l,Lca5l
IL1RAPL2,IL1RAPL2,Il1rapl2,Il1rapl2
TLE6,TLE6,Tle6,Tle6
ESX1,ESX1,Esx1,Esx1
GLIPR1,GLIPR1,Glipr1,Glipr1
COQ10B,COQ10B,Coq10b,Coq10b
S100A4,S100A4,S100a4,S100a4
ZBTB49,ZBTB49,Zbtb49,Zbtb49
KL,KL,Kl,Kl
CLDN19,CLDN19,Cldn19,Cldn19
CRTAC1,CRTAC1,Crtac1,Crtac1
GOLGA7B,GOLGA7B,Golga7b,Golga7b
VPS18,VPS18,Vps18,Vps18
MYH11,MYH11,Myh11,Myh11
C18orf8,C18orf8,3110002H16Rik,RGD1311805
PUS10,PUS10,Pus10,Pus10
ECT2,ECT2,Ect2,Ect2
PRKD1,PRKD1,Prkd1,Prkd1
GABPB2,,Gabpb2,Gabpb2
GBA2,GBA2,Gba2,Gba2
NOC2L,NOC2L,Noc2l,Noc2l
ZMYND11,ZMYND11,Zmynd11,Zmynd11
RGS20,RGS20,Rgs20,Rgs20
ENDOU,ENDOU,Endou,Endou
MRPL54,MRPL54,Mrpl54,Mrpl54
FAM83C,FAM83C,Fam83c,Fam83c
KIF2A,KIF2A,Kif2a,Kif2a
RHNO1,RHNO1,Rhno1,Rhno1
TSTD1,TSTD1,Tstd1,Tstd1
MON1B,MON1B,Mon1b,Mon1b
CASS4,CASS4,Cass4,Cass4
SPATS2,SPATS2,Spats2,Spats2
ASPA,ASPA,Aspa,Aspa
NLGN3,,Nlgn3,Nlgn3
MGME1,MGME1,Mgme1,Mgme1
APOLD1,APOLD1,Apold1,Apold1
CRYGD,CRYGD,Crygd,Crygd
C19orf38,C19orf38,AB124611,LOC691141
CLDN9,CLDN9,Cldn9,Cldn9
KCNA1,KCNA1,Kcna1,Kcna1
AVPI1,AVPI1,Avpi1,Avpi1
RASSF3,RASSF3,Rassf3,Rassf3
MSRB2,MSRB2,Msrb2,Msrb2
FOCAD,FOCAD,Focad,Focad
PACSIN1,PACSIN1,Pacsin1,Pacsin1
GDE1,GDE1,Gde1,Gde1
TRAPPC8,TRAPPC8,Trappc8,Trappc8
GRIK1,GRIK1,Grik1,Grik1
IFI44,IFI44,Ifi44,Ifi44
GHSR,GHSR,Ghsr,Ghsr
GNL3L,GNL3L,Gnl3l,Gnl3l
TRAK2,TRAK2,Trak2,Trak2
CEP83,CEP83,Cep83,Cep83
PLPP5,PLPP5,Plpp5,Plpp5
FAM227A,FAM227A,Fam227a,Fam227a
KIAA1211L,KIAA1211L,2010300C02Rik,RGD1310819
PKD1L3,PKD1L3,Pkd1l3,Pkd1l3
SNAPC3,SNAPC3,Snapc3,Snapc3
USP14,USP14,Usp14,Usp14
NACAD,NACAD,Nacad,Nacad
TAF2,TAF2,Taf2,Taf2
LRCH2,LRCH2,Lrch2,Lrch2
MDM2,MDM2,Mdm2,Mdm2
GYG1,GYG1,Gyg,Gyg1
RNF111,RNF111,Rnf111,Rnf111
RIOK3,RIOK3,Riok3,Riok3
OCIAD1,OCIAD1,Ociad1,Ociad1
OARD1,,Oard1,Oard1
DUOX1,DUOX1,Duox1,Duox1
ZNF821,ZNF821,Zfp821,Zfp821
TMEM79,TMEM79,Tmem79,Tmem79
TRPM5,TRPM5,Trpm5,Trpm5
ASXL1,ASXL1,Asxl1,Asxl1
GLMP,GLMP,Glmp,Glmp
XYLB,XYLB,Xylb,Xylb
CPM,CPM,Cpm,Cpm
PDE3A,PDE3A,Pde3a,Pde3a
ACAA2,ACAA2,Acaa2,Acaa2
BTBD11,BTBD11,Btbd11,Btbd11
LMF2,LMF2,Lmf2,Lmf2
PSIP1,PSIP1,Psip1,Psip1
PRPF19,PRPF19,Prpf19,Prpf19
PCBD1,PCBD1,Pcbd1,Pcbd1
VDAC2,VDAC2,Vdac2,Vdac2
RPUSD3,RPUSD3,Rpusd3,Rpusd3
CAND2,CAND2,Cand2,Cand2
GLG1,GLG1,Glg1,Glg1
TMX1,TMX1,Tmx1,Tmx1
SKI,SKI,Ski,Ski
LTB4R2,LTB4R2,Ltb4r2,Ltb4r2
NPAS1,NPAS1,Npas1,Npas1
TGM7,TGM7,Tgm7,Tgm7l1
BARX1,,Barx1,Barx1
PPP1R36,PPP1R36,Ppp1r36,Ppp1r36
CPN1,CPN1,Cpn1,Cpn1
PDE5A,PDE5A,Pde5a,Pde5a
RPS6KB2,RPS6KB2,Rps6kb2,Rps6kb2
GRK4,GRK4,Grk4,Grk4
CST11,CST11,Cst11,Cst11
TSHZ3,TSHZ3,Tshz3,Tshz3
GRIA3,GRIA3,Gria3,Gria3
HIP1,HIP1,Hip1,Hip1
RGS19,RGS19,Rgs19,Rgs19
MTMR9,MTMR9,Mtmr9,Mtmr9
PIK3C3,PIK3C3,Pik3c3,Pik3c3
ITPR3,ITPR3,Itpr3,Itpr3
BACE2,BACE2,Bace2,Bace2
GATM,GATM,Gatm,Gatm
FNBP4,FNBP4,Fnbp4,Fnbp4
NLRP3,NLRP3,Nlrp3,Nlrp3
GZF1,GZF1,Gzf1,Gzf1
NOTCH2,NOTCH2,Notch2,Notch2
GTF2H4,GTF2H4,Gtf2h4,Gtf2h4
CKAP4,CKAP4,Ckap4,Ckap4
NRP2,NRP2,Nrp2,Nrp2
KIAA0895,KIAA0895,9530077C05Rik,RGD1561444
PISD,PISD,AC149090.1,Pisd
TRIM23,TRIM23,Trim23,Trim23
CCDC134,CCDC134,Ccdc134,Ccdc134
ZNHIT6,ZNHIT6,Znhit6,Znhit6
CSTB,CSTB,Cstb,Cstb
LHX1,LHX1,Lhx1,Lhx1
RBBP7,RBBP7,Rbbp7,Rbbp7
ATP4A,ATP4A,Atp4a,Atp4a
KLHL6,KLHL6,Klhl6,Klhl6
ERICH2,ERICH2,Erich2,Erich2
C16orf92,C16orf92,4930451I11Rik,RGD1563217
FAM57B,FAM57B,Fam57b,Fam57b
PLCB1,PLCB1,Plcb1,Plcb1
FAM83A,FAM83A,Fam83a,Fam83a
ARHGEF25,ARHGEF25,Arhgef25,Arhgef25
SLC29A1,SLC29A1,Slc29a1,Slc29a1
URI1,URI1,Uri1,Uri1
ITGA10,ITGA10,Itga10,Itga10
TIGD3,TIGD3,Tigd3,Tigd3
TRAFD1,TRAFD1,Trafd1,Trafd1
DHRS11,DHRS11,Dhrs11,Dhrs11
PEX16,PEX16,Pex16,Pex16
HERC1,HERC1,Herc1,Herc1
ZFAND5,ZFAND5,Zfand5,Zfand5
PCK2,PCK2,Pck2,Pck2
KLHL8,KLHL8,Klhl8,Klhl8
P4HA1,P4HA1,P4ha1,P4ha1
HCCS,HCCS,Hccs,Hccs
PAWR,PAWR,Pawr,Pawr
TCF24,TCF24,Tcf24,Tcf24
CCDC36,CCDC36,Ccdc36,Ccdc36
ZFHX3,,Zfhx3,Zfhx3
SCN5A,SCN5A,Scn5a,Scn5a
SYCP3,SYCP3,Sycp3,Sycp3
EPB41L3,EPB41L3,Epb41l3,Epb41l3
PABPC5,PABPC5,Pabpc5,Pabpc5
C3orf84,C3orf84,BC048562,LOC680045
ABCF2,ABCF2,Abcf2,Abcf2
CIDEC,CIDEC,Cidec,Cidec
CENPA,CENPA,Cenpa,Cenpa
ASPM,ASPM,Aspm,Aspm
VAMP8,VAMP8,Vamp8,Vamp8
TLL2,TLL2,Tll2,Tll2
E2F6,E2F6,E2f6,E2f6
C1orf158,C1orf158,1700012P22Rik,LOC691162
COMMD2,COMMD2,Commd2,Commd2
FAM198B,FAM198B,Fam198b,Fam198b
RFXANK,RFXANK,Rfxank,Rfxank
CRBN,CRBN,Crbn,Crbn
MFN1,MFN1,Mfn1,Mfn1
VCAM1,VCAM1,Vcam1,Vcam1
HOMEZ,HOMEZ,Homez,Homez
AP4S1,AP4S1,Ap4s1,Ap4s1
C4orf36,C4orf36,1700016H13Rik,LOC498330
SRP14,SRP14,Srp14,Srp14
GCM2,GCM2,Gcm2,Gcm2
USP7,USP7,Usp7,Usp7
ROR1,ROR1,Ror1,Ror1
SHROOM2,SHROOM2,Shroom2,Shroom2
ICOS,ICOS,Icos,Icos
DNAJA2,DNAJA2,Dnaja2,Dnaja2
DDB1,DDB1,Ddb1,Ddb1
SPP1,SPP1,Spp1,Spp1
MTMR6,MTMR6,Mtmr6,Mtmr6
FABP4,FABP4,Fabp4,Fabp4
POLH,POLH,Polh,Polh
TMEM138,TMEM138,Tmem138,Tmem138
NFE2,NFE2,Nfe2,Nfe2
IL12RB1,IL12RB1,Il12rb1,Il12rb1
PPP1R3C,PPP1R3C,Ppp1r3c,Ppp1r3c
CX3CR1,CX3CR1,Cx3cr1,Cx3cr1
GATA2,GATA2,Gata2,Gata2
RSAD2,RSAD2,Rsad2,Rsad2
VARS,VARS,Vars,Vars
TMEM62,TMEM62,Tmem62,Tmem62
MCIDAS,MCIDAS,Mcidas,Mcidas
STK31,STK31,Stk31,Stk31
HBZ,HBZ,Hba-x,Hbz
